OBJID,EL_RAW,CS_RAW,DEB_AMATEUR,EXPERT
588015510343123099,1,0,U,M
587731186203951236,0,1,U,L
587731187277693087,1,0,U,M
587731187814563977,0,1,S,L
588015507658768490,0,1,S,L
587727225690128575,1,0,E,M
587727227837612151,1,0,U,M
587730773351923978,1,0,U,M
587731186740822193,0,1,S,L
587731185667080368,1,0,U,M
587727223024189538,1,0,U,M
587727225690194001,0,1,S,L
587727225690259613,0,1,S,L
587730772815118492,1,0,U,M
587731187277758650,1,0,U,M
587727226764001344,1,0,U,L
587727225690259639,0,1,S,L
587727225690259651,1,0,U,M
587727220876771494,0,1,S,L
587727225690259660,0,1,S,L
587730772815184059,0,1,U,L
588015508732641374,0,1,S,L
587727221413707929,0,1,S,L
587730773352054986,1,0,U,M
587730774425796793,0,1,S,L
587731186740953163,1,0,E,M
588015508732641394,0,1,S,L
587731187814695060,0,1,S,M
588015510343319643,0,1,S,L
587731187277824135,0,1,U,L
588015509806448799,1,0,E,M
588015508195836021,0,1,U,L
587727221950578862,0,1,S,L
587731187277889699,1,0,E,M
587730774425862374,0,1,S,L
587727177912811659,0,1,S,L
587727178449748084,1,0,U,M
587727220876902662,0,1,S,L
588015508195901580,1,0,U,M
588015509806514333,1,0,U,M
587730773889056951,0,1,S,L
588015510343385206,0,1,S,L
588015509806514377,1,0,E,M
587727223561322712,1,0,E,M
588015509806579799,1,0,U,M
587731187277955130,1,0,U,M
588015509269708809,1,0,E,M
588015508732838032,0,1,S,M
587727223561322743,0,1,S,L
587727178986684545,0,1,S,L
587730772815380481,1,0,U,M
587731185667407966,1,0,U,L
587731187814891701,0,1,S,L
587730774425993387,1,0,S,L
587730773352251582,1,0,E,M
587727220877033658,1,0,E,M
588015510343516313,1,0,E,M
588015510343516321,0,1,S,L
588015509269774450,0,1,U,L
588015508196032685,0,1,S,L
587727178449879191,1,0,U,M
587731186741215362,1,0,U,M
587731186204344487,0,1,S,L
587730772815446262,0,1,S,L
587727225153716362,1,0,E,M
588015509806710883,1,0,E,M
587727226227458161,1,0,U,M
588015508732969059,0,1,S,L
587731187278086334,1,0,U,M
587727226227458180,0,1,S,L
588015510343581828,1,0,U,M
587731187815022708,1,0,U,M
587727223561519237,1,0,U,M
588015508196163672,1,0,U,M
588015510343647360,1,0,E,M
588015509806776445,1,0,U,M
588015509806776450,1,0,U,M
587731186741346415,0,1,S,L
587727221950906570,1,0,E,M
587727227838136451,0,1,S,L
587731186741346423,1,0,U,M
588015510343647486,1,0,U,L
588015509806776498,0,1,S,L
588015509806776514,1,0,E,M
587727225690718350,1,0,U,M
587727177913139329,1,0,U,M
587727225690718396,1,0,U,L
587727180597493908,1,0,U,M
587730772815577232,0,1,S,L
587727225690718413,0,1,U,L
587727226764460180,0,1,S,L
588015510343712918,0,1,U,L
587731185130799290,0,1,S,L
588015509806841982,0,1,S,L
588015509806907402,1,0,U,M
588015510343778384,1,0,U,M
587730775499997427,0,1,S,L
588015508196294817,0,1,S,L
587727180597624973,1,0,E,M
587727226764525676,1,0,U,M
588015509806907587,1,0,U,M
588015508196294722,1,0,U,M
588015509806973053,0,1,U,L
587727179523883176,1,0,U,M
587730772815708277,1,0,U,M
587731186204606582,1,0,U,L
587727179523948635,0,1,S,M
587731186204606586,1,0,U,L
587731185667735754,0,1,S,L
587731185667735763,0,1,S,L
587731185667801218,1,0,U,M
587727179523948655,0,1,S,L
587727178450206846,1,0,U,M
588015508733296760,0,1,S,L
587727221951168687,1,0,S,M
588015508196425849,1,0,E,M
587731185130995898,0,1,S,L
588015508196425884,0,1,S,L
587727221414363276,0,1,S,L
588015508733296729,1,0,E,M
587727178450272421,1,0,U,L
588015508733362296,1,0,S,M
587727223024976038,0,1,S,L
588015508196491371,1,0,U,M
587727227838464118,0,1,S,L
587730775500194034,0,1,S,L
588015508196491397,1,0,U,M
587727221951234166,0,1,S,L
587727225154175064,0,1,S,L
587731187278545069,0,1,S,L
587727178987274353,1,0,S,L
587727225154175108,0,1,S,L
587731186204868727,0,1,S,L
587731185667997882,0,1,S,L
587727180597887054,0,1,S,L
587727179524145257,1,0,U,M
587730773352841380,1,0,U,M
587730773352841379,0,1,U,M
587727178987339911,0,1,S,L
588015508196622442,1,0,U,M
587727178987339822,0,1,S,L
587730775500325001,0,1,U,L
587727221951365275,1,0,U,M
588015509270364333,1,0,E,M
587727221414494464,1,0,E,M
587731186741805195,0,1,S,L
588015508733558857,1,0,U,M
588015507659817074,0,1,S,L
587731185668128949,0,1,S,L
587731187278741704,0,1,S,L
588015509807366248,0,1,S,L
587727226228113485,1,0,U,M
587730773352972474,0,1,S,L
588015510344237233,0,1,S,L
587727225154371737,1,0,U,M
587727226764984497,1,0,U,L
587731185131323611,0,1,S,L
587731186205065344,0,1,S,L
587727177913729191,0,1,S,L
587727221951561877,0,1,U,L
588015507659948148,0,1,U,M
587727226765049986,0,1,S,L
587727180061278389,0,1,S,L
587727226765049913,0,1,S,L
587727226228179083,0,1,S,L
587727221951561921,1,0,E,M
588015508196819232,0,1,S,L
588015509807431861,0,1,S,L
587731186205130912,1,0,U,M
587727225154502764,0,1,S,L
587727178987536463,1,0,U,M
588015507660013666,0,1,S,L
587727226765115492,0,1,S,L
588015509270626526,1,0,U,M
587730775500587156,0,1,U,L
588015508196884558,0,1,S,L
588015507660013699,1,0,E,M
587727225691373712,1,0,E,M
587727226765115525,1,0,E,M
587731186742067446,1,0,E,M
587727226228310142,0,1,S,M
588015508733821094,0,1,S,L
587727227302051948,1,0,U,M
587731185131520123,1,0,U,M
587731185131520129,1,0,U,M
587731186742132985,0,1,S,L
587727226228375678,0,1,S,L
587731187279069398,0,1,S,L
587730774963847330,1,0,U,M
587731186742198306,0,1,S,L
588290880564822166,0,1,S,M
588290882175500322,0,1,U,L
588015507660210234,1,0,U,M
587727178450927717,0,1,U,M
588015509270823087,1,0,U,M
588015507660210255,0,1,S,L
587727179524669464,0,1,S,L
587730773890236613,1,0,U,M
587731186205458554,0,1,S,L
588015507660275817,1,0,U,M
587731185131716720,0,1,S,L
587731187816071307,0,1,S,L
588290882175631490,1,0,E,M
588290880565018738,0,1,S,L
587731186205524071,0,1,U,M
587731185668653188,0,1,S,L
588290879491276891,0,1,U,L
588015508197212201,0,1,S,L
588015509270954123,1,0,E,M
588015510344695925,1,0,U,M
587731186205524102,1,0,E,M
588290882175631517,0,1,S,M
587727226228572258,1,0,E,M
587727226765443232,1,0,U,M
587731187279265955,1,0,E,M
587731187279265981,0,1,S,L
587727227839250688,0,1,U,L
587731186742394983,0,1,S,L
587727225154895967,0,1,U,L
587731187279265994,0,1,S,L
588290882175697039,1,0,E,M
587731187279331410,0,1,S,L
588015508734148754,0,1,S,L
587731186205589602,1,0,U,M
588290882175697053,1,0,U,M
587727226765508728,0,1,S,L
588015507660406905,0,1,S,L
588015508734148696,1,0,U,M
587731187279331389,0,1,S,L
587730773890433205,1,0,E,M
587731185131913345,0,1,S,L
587730773890433249,1,0,E,M
588290880028278941,0,1,S,L
587727180061802659,1,0,U,M
587730773890498681,0,1,S,L
587731185668849799,0,1,S,L
587731186205720699,1,0,U,M
587727180598673493,0,1,S,L
587730772816756853,1,0,U,M
587731185668849851,1,0,E,M
588015508197408901,1,0,U,M
588015508734345285,1,0,U,M
588015510344958052,0,1,S,L
587731185668849945,0,1,S,L
587731185668915281,1,0,U,M
587727225691963531,0,1,S,L
587731186205786214,0,1,S,L
588015508734345336,1,0,U,M
587727225155092569,1,0,U,M
587731185132044450,0,1,S,L
587731186205786263,1,0,E,M
587727178451320921,1,0,U,M
587727225155092588,1,0,U,M
587727225691963576,0,1,S,L
587727178988191902,1,0,U,M
587727225155158121,1,0,E,M
587730774427500730,0,1,S,L
587730775501242537,1,0,U,M
587727227839512712,0,1,S,L
588015509271281831,0,1,S,L
588290881102217448,0,1,S,L
587727225155158163,0,1,S,L
588290881102217482,1,0,E,M
588290881639153830,1,0,E,M
587727179525193788,1,0,U,L
587727177914581077,0,1,S,L
587727180062064786,0,1,S,L
587727178451452024,1,0,U,L
587727177914581090,1,0,E,M
587727225692094596,0,1,S,L
587731186742788238,0,1,S,L
587731185669046344,1,0,U,M
587727179525193826,0,1,S,L
587730773890695410,0,1,S,L
587730774964502681,0,1,S,L
587731186742853707,0,1,U,L
587727225155289168,1,0,U,M
588015507660800161,1,0,U,M
587727178988388448,1,0,U,M
587727177914646552,1,0,U,M
587731185132241025,1,0,U,M
587727225155354763,0,1,S,L
587731186742919301,0,1,S,L
587727225155354652,0,1,S,L
588015508734607459,1,0,U,M
587727226765967493,1,0,U,M
587727180062195851,0,1,S,L
588290881102414008,0,1,S,L
587731186206113934,1,0,E,M
588290881639350458,0,1,S,L
587731186206113980,1,0,U,M
587731187279921175,0,1,U,L
588290882176221360,1,0,U,M
588015507660996744,1,0,U,M
587731185669308555,1,0,U,M
587730774964699287,1,0,E,M
588290881102544934,0,1,S,L
587731186206179425,1,0,E,M
588015510345351333,0,1,U,L
588290881102610595,1,0,U,M
587731185132503253,0,0,U,M
587727177914908742,1,0,U,M
587730773354217594,0,1,U,L
588015509808611441,0,1,S,L
587731185132568730,1,0,U,M
587727180062457921,0,1,U,L
587731186743181451,1,0,U,M
588290882176417925,0,1,S,L
587731185132634206,0,1,S,L
588015507661193352,1,0,U,M
588290881639612554,1,0,U,M
587731185132634265,1,0,U,M
587731187280183302,1,0,U,M
587731185132699742,0,1,U,L
588290879492128944,0,1,S,L
587727225692618869,0,1,S,L
588290881102807176,0,1,S,L
587731187280183505,1,0,U,L
587731185132699764,0,1,U,M
587731185132765274,1,0,U,M
588015508198195325,1,0,U,M
588290880565936345,0,1,S,L
587731185669636133,1,0,U,M
587731185669636134,1,0,U,M
588015508198195337,1,0,E,M
588290879492259979,0,1,S,L
587731186206507141,1,0,E,M
588015508198195369,1,0,U,M
587730773354414192,0,1,S,L
587727179525783739,0,1,S,L
587731185132765311,1,0,U,M
587731186206507199,0,1,S,L
587731186206507205,0,1,S,L
588015508198260810,1,0,E,M
587730773891285162,0,1,S,L
588290881639743547,0,1,S,L
587727226229620850,0,1,S,L
588015507661389943,0,1,S,L
587731185132830864,1,0,U,M
587727178452107412,0,1,S,L
588290880029196441,0,1,S,L
588290880566067265,0,1,S,L
588290880566132939,0,1,S,L
588015509808939099,0,1,S,L
587727227303428209,1,0,U,L
587730773891416215,1,0,U,M
587731186206638141,0,1,S,L
587731187817250970,1,0,U,M
587730775502028962,1,0,E,M
587727226766622798,1,0,U,M
588015507661520918,0,1,S,L
587731185669832788,0,1,S,L
588290881103003849,1,0,S,L
587731185132961882,1,0,U,M
588290882176811103,0,1,S,L
588015510345875606,0,1,S,L
587727227303493771,1,0,U,M
588015508735328323,1,0,E,M
587730773354610868,0,1,S,L
587727180062916662,1,0,E,M
587730774965223682,1,0,U,L
588015509809135731,0,1,S,L
587730774965289001,0,1,S,L
588015509272264782,0,1,S,L
587727226229817491,0,1,S,L
588015510346006654,1,0,U,M
587731187280576623,1,0,U,M
588015508198522995,1,0,U,M
587730775502160073,1,0,U,M
588290882176876706,1,0,U,M
587727227303624798,0,1,S,L
587727179526111354,0,1,U,M
588290881640071382,0,1,S,L
587727226766819440,1,0,U,L
588015509809201238,0,1,S,L
587727179526111377,0,1,S,L
587730775502291109,0,1,S,L
588015509272395861,0,1,S,L
587730774965420257,1,0,U,M
587727177915564101,0,1,S,L
587731187817513151,1,0,S,M
588015507661783172,0,1,S,L
587727177915629729,1,0,U,M
587731185133224090,0,1,U,L
587727180063113363,0,1,S,L
588015508735590522,1,0,E,M
588015508735590537,0,1,S,L
587727178452500610,0,1,S,L
587724199079641276,1,0,U,M
587731187280773293,1,0,U,L
587727179526307921,1,0,U,M
587724232099627239,0,1,U,L
587727226230079649,0,1,S,L
587724233710239870,1,0,E,M
587727226766950508,0,1,S,L
587724199885013029,0,1,S,L
587724198274400379,1,0,E,M
588015508735656067,0,1,S,L
587731187280838842,1,0,U,M
587731186743967777,1,0,E,M
587724199885013135,1,0,E,M
587727177915695165,1,0,U,M
588015508735656125,0,1,S,M
587731186207096962,1,0,U,M
587731185133355176,1,0,E,M
587731186207096991,1,0,E,M
587731186207097010,1,0,U,M
587724199885013209,0,1,S,L
587727226767016086,1,0,U,M
587731186207097026,1,0,U,M
588015508735721557,0,1,S,L
587731186207097032,1,0,U,M
587731186207162478,1,0,U,M
587731185670291462,1,0,U,M
588015508735721577,1,0,E,M
588015508735721571,0,1,S,L
588015508735721603,1,0,U,M
587731185670291527,1,0,E,M
588015507661979748,0,1,S,L
587731186207162530,1,0,U,M
587727180600115247,1,0,U,L
588015508735721609,1,0,E,M
587731185133420640,1,0,U,M
587731186207162556,1,0,U,M
588015509272657976,1,0,U,M
587727180063309931,1,0,E,M
587727177915826302,0,1,S,L
588015509272658031,1,0,U,M
587731187280969914,0,1,S,L
588015508198916234,0,1,S,L
587727180600180863,1,0,U,M
587724232636629123,1,0,U,M
587731185670357186,1,0,E,M
588015509272723543,1,0,E,M
587724234247241937,1,0,U,M
587724232636694645,0,1,S,L
588015508198981751,0,1,S,M
588015508198981674,0,1,S,L
588015508198981794,0,1,S,L
587724232099823735,0,1,S,L
588015509809594511,0,1,S,L
588015509809594452,0,1,S,L
588015510346465416,0,1,S,L
587727225156599922,0,1,S,M
588015508199047173,0,1,S,L
587731187817906359,0,1,S,L
587724233173630986,1,0,U,M
587727227304083613,1,0,U,M
587727225693536361,1,0,S,M
587731186744230004,0,1,S,L
587727225156665442,0,1,S,L
587724233710502032,1,0,U,L
587727227304149110,1,0,U,L
587727225156730966,0,1,S,L
587727180600377433,0,1,S,L
587724198811598877,1,0,U,M
587727225693601912,0,1,S,L
588015510346596507,0,1,S,L
587731187818037375,0,1,U,M
587731187818037381,1,0,U,M
587724198274728120,0,1,S,L
587724232636825730,1,0,U,M
587727177916088439,1,0,E,M
588015510346662008,0,1,S,L
587731185133682765,0,1,S,L
587731185133748296,0,1,S,M
587724233173827648,0,1,S,L
587724198274859139,1,0,U,M
588015509272985710,0,1,S,L
587724199885471920,1,0,U,M
587731185133879331,0,1,S,L
588015508199309451,0,1,S,L
587727178989961359,0,1,U,L
587727178989961369,1,0,U,M
587727180063768652,1,0,U,M
588015510346858598,0,1,S,L
587727226767540376,0,1,S,L
587727226767540279,0,1,S,L
587724199885602912,1,0,U,M
587727225156993151,1,0,U,M
587724199348731998,1,0,U,M
588015508199440493,1,0,E,M
588015509273182266,0,1,S,L
587727180063834204,0,1,S,L
587724232100282512,0,1,U,L
587731187281494216,0,1,S,L
587724233710960736,1,0,U,M
587724199885734012,0,1,S,L
587727180600836147,1,0,E,M
587731187281559664,0,1,S,L
587724231563477157,0,1,S,L
587731185670946952,1,0,U,M
587727225157124149,1,0,E,M
587727179527094384,0,1,S,L
587731186744754270,1,0,U,M
587727226230931562,1,0,U,M
587727180600836216,0,1,S,M
587727225157189716,1,0,E,M
587727226230931521,0,1,S,L
587727227304738932,0,1,S,M
587727225157255237,0,1,S,L
588015507662766089,0,1,S,L
587731185134207091,0,1,S,L
587727178453418135,1,0,E,M
587724197738381420,1,0,U,M
588015510347186300,1,0,U,M
587724233174220990,1,0,E,M
587727227841675319,1,0,U,M
587724198812188787,1,0,E,M
587724198812188795,0,1,S,M
587724233711157342,1,0,E,M
587727227304804420,0,1,S,L
587731187818627249,0,1,S,L
587724199885996124,1,0,U,M
587727226767999039,1,0,E,M
587731185134338213,0,1,S,L
587731185671209075,1,0,U,M
588015509273575581,0,1,S,L
587731185671274603,0,1,S,L
588015509273575627,1,0,U,M
587727227304870066,1,0,U,M
587724233174417495,0,1,S,L
587727180064227387,1,0,U,M
587731186208145575,1,0,U,M
587727180064227403,1,0,U,M
588015509810446476,0,1,S,L
587724233711288463,1,0,U,M
587727180064292957,1,0,S,L
588015508199899235,0,1,S,L
588015509273641085,1,0,U,M
587731186208211034,1,0,U,M
587724231563870313,1,0,E,M
587727227304935591,1,0,U,M
587727227841806467,1,0,U,M
587727225157451822,1,0,U,M
587731185134469239,1,0,U,M
587727225694388294,0,1,S,L
588015509273641038,1,0,E,M
587727180601229418,0,1,S,L
587724234248224914,0,1,S,L
588015509810577544,1,0,E,M
587727227841871964,1,0,U,M
588015510347448339,0,1,S,L
587727227305001121,1,0,U,M
587727227305001011,0,1,S,L
588015508736835649,0,1,S,L
587727180064358506,0,1,S,L
587731186745147515,0,1,S,L
587727226231259330,1,0,U,M
587727227841937525,1,0,U,M
587727227841937536,1,0,U,M
587731187818889359,1,0,E,M
587727179527553087,1,0,E,M
588015508200030299,1,0,E,M
587727227305066655,1,0,E,M
587727180601294949,1,0,E,M
587724197738709162,1,0,U,M
587727177916940351,1,0,U,M
587727180601294962,1,0,U,M
588015509273772182,1,0,U,M
587731186745213014,0,1,S,L
587724197201903745,1,0,U,L
587727226768261211,1,0,U,M
587727178990682279,0,1,S,L
587724199349387373,1,0,U,M
588015508736966677,0,1,S,L
587727180064489556,1,0,U,M
587727180601360443,1,0,U,M
587727180064489565,1,0,E,M
587731187282149509,1,0,U,M
587727227305132218,1,0,U,M
587724199886258329,0,1,S,L
587727180601360473,0,1,U,M
587727177917005913,1,0,U,L
587727227305197671,1,0,E,M
587727179527618741,1,0,U,M
587727227305197698,1,0,U,M
587731187282149429,0,1,S,L
587727227305197720,1,0,U,M
587727227305197719,1,0,U,M
587727180064555097,0,1,S,L
587727227305197731,1,0,U,M
587727180064555103,1,0,U,M
587727180064555109,1,0,U,M
587727226231455873,0,1,U,M
587724232100937914,1,0,U,M
587731185671602211,1,0,U,M
587727227305197643,1,0,U,M
587727180064555138,0,0,S,M
587727180601426026,1,0,U,M
587727226768326800,1,0,U,M
587727227305197789,1,0,U,M
587727227305197792,1,0,E,M
587727180601426034,1,0,U,M
587727225157714059,1,0,U,M
587727180601426040,1,0,U,M
588015507663290501,1,0,U,M
587727227305263243,1,0,U,M
587727227305263237,1,0,U,M
587727227305263249,1,0,U,M
587727226768392279,1,0,U,M
587727226231521348,0,1,S,L
587727226768392291,1,0,U,L
587727227305263277,1,0,U,M
587731187819085863,0,1,S,L
587727180064555207,0,1,S,M
587727227305263281,1,0,U,M
587724233174745210,1,0,E,M
587727227305263285,1,0,E,M
588015508737097743,0,1,S,L
587727180064620635,1,0,E,M
587727180064620656,1,0,U,M
587727180064620660,1,0,U,M
587727225157779564,1,0,E,M
587727180064620675,1,0,E,M
587724233174745259,1,0,U,M
587727180064620686,0,1,S,L
587727180601491548,1,0,U,M
587727179527749731,1,0,U,M
587727180064620706,1,0,U,M
588015508737097845,1,0,U,M
587727227305328744,1,0,U,M
587727226768457863,1,0,E,M
587727227842199657,0,1,U,M
587727227305328762,1,0,U,M
587727180064620735,1,0,U,M
587724197738971308,1,0,E,M
587727227305328777,1,0,U,M
587727227842199670,0,1,S,L
587727179527749777,1,0,U,M
587727225694715951,0,1,S,L
587727179527749781,1,0,U,M
588015508737163383,1,0,U,M
587724198275842071,0,1,U,L
587727227842199689,1,0,E,M
587727227305328799,0,1,S,L
587727179527815279,1,0,E,M
587727226768457895,1,0,U,M
587724199349583958,1,0,U,M
587731186745475231,0,1,S,L
587727180064686217,1,0,E,M
587727180601557074,1,0,U,M
587724198275842217,1,0,U,L
587724233174810782,1,0,E,M
587731186745475257,0,1,S,L
587727226231586978,1,0,U,M
587727180064686157,1,0,U,M
587727226768457824,1,0,E,M
588015510347776169,1,0,E,M
587731186745475262,1,0,U,M
587724233711681696,0,1,S,L
587727177917202487,0,1,S,L
588015508737163423,1,0,U,M
587727179527815351,1,0,U,M
587724233174876277,1,0,U,M
587727179527815374,1,0,U,M
587724198812778662,1,0,U,M
587727180064751689,0,1,U,L
587724233174876317,1,0,U,M
587731185134862509,0,1,U,L
587727227305394195,1,0,U,L
587727180064751711,0,1,U,M
587727180064751805,0,1,S,L
587724199886520377,1,0,E,M
587727179527880799,1,0,E,M
587727180601622620,1,0,U,M
587727180064751720,0,1,S,L
587727180064751735,0,1,S,L
587724233174876369,1,0,U,M
587724233174876380,1,0,U,M
587724198812778704,1,0,E,M
587724197739036938,0,1,S,L
587727179527880844,1,0,E,M
587727180601622589,1,0,U,M
587727180064751777,1,0,U,M
587724233174876394,1,0,U,M
587724198812778719,1,0,U,M
587727226231718034,1,0,E,M
587724232101199896,0,1,S,L
587731185134928035,1,0,U,M
587724198275973234,1,0,U,L
587724233174941873,1,0,U,M
587727227305459804,0,1,S,M
587727226768588948,1,0,U,M
587727226768654422,1,0,U,M
587724199886586000,0,1,S,L
587727180601753667,0,1,S,L
587727178991140959,0,1,S,L
588015509274230896,1,0,U,M
587731187819413572,0,1,S,L
587724232638136464,0,1,S,L
587731186208800909,1,0,U,M
587731185135059131,1,0,U,M
587724198276038851,0,1,S,L
588015510347972749,0,1,U,L
